Year,Competition,Position,Team,Games Played,Won,Lost,Draw,Scored,Conceded,Points,Comments
2022/23,Campeonato Regional Brava,4,Nô Pintcha,6.0,0.0,2.0,4.0,9.0,18.0,2,
2021/22,Campeonato Regional Brava,1,Morabeza,8.0,7.0,1.0,0.0,32.0,3.0,22,champions
2021/22,Campeonato Regional Brava,2,Benfica,8.0,5.0,0.0,3.0,26.0,10.0,15,
2021/22,Campeonato Regional Brava,3,Nô Pintcha,8.0,4.0,1.0,3.0,19.0,17.0,13,
2021/22,Campeonato Regional Brava,4,Académica,8.0,2.0,0.0,6.0,11.0,22.0,6,
2021/22,Campeonato Regional Brava,5,Corôa,8.0,1.0,0.0,7.0,10.0,46.0,3,
2020/21,Campeonato Regional Brava,1,Académica,5.0,4.0,1.0,0.0,21.0,0.0,13,suspended due to cases of Covid-19
2020/21,Campeonato Regional Brava,2,Morabeza,4.0,3.0,1.0,0.0,21.0,1.0,10,suspended due to cases of Covid-19
2020/21,Campeonato Regional Brava,3,Corôa,5.0,2.0,1.0,2.0,6.0,18.0,7,suspended due to cases of Covid-19
2020/21,Campeonato Regional Brava,4,Nô Pintcha,5.0,1.0,1.0,3.0,3.0,9.0,4,suspended due to cases of Covid-19
2020/21,Campeonato Regional Brava,5,Benfica,5.0,0.0,0.0,5.0,3.0,26.0,0,suspended due to cases of Covid-19
2019/20,Campeonato Regional Brava,1,Morabeza,7.0,6.0,1.0,0.0,25.0,2.0,19,league abandoned due to Covid-19 pandemic; no championship awarded
2019/20,Campeonato Regional Brava,2,Sporting,6.0,5.0,0.0,1.0,25.0,6.0,15,[C] league abandoned due to Covid-19 pandemic; no championship awarded
2019/20,Campeonato Regional Brava,3,Académica,6.0,3.0,1.0,2.0,13.0,10.0,10,league abandoned due to Covid-19 pandemic; no championship awarded
2019/20,Campeonato Regional Brava,4,Nô Pintcha,6.0,1.0,0.0,5.0,11.0,18.0,3,league abandoned due to Covid-19 pandemic; no championship awarded
2019/20,Campeonato Regional Brava,5,Corôa,7.0,0.0,0.0,7.0,3.0,41.0,0,league abandoned due to Covid-19 pandemic; no championship awarded
2018/19,Campeonato Regional Brava,1,Sporting,10.0,8.0,1.0,1.0,38.0,6.0,25,champions
2018/19,Campeonato Regional Brava,2,Morabeza,10.0,7.0,1.0,2.0,40.0,13.0,22,[C]
2018/19,Campeonato Regional Brava,3,Nô Pintcha,10.0,6.0,2.0,2.0,21.0,11.0,20,
2018/19,Campeonato Regional Brava,4,Benfica,10.0,5.0,0.0,5.0,14.0,18.0,15,
